date,hospital,admissions_total,admissions_emergency,admissions_scheduled,temperature,precipitation,is_weekend,is_holiday,day_of_week,month,year,special_event
2020-01-01,CHU_Cocody,156,109,47,26.3,4.2,0,1,2,1,2020,
2020-01-01,CHU_Yopougon,183,128,55,21.1,0.3,0,1,2,1,2020,
2020-01-01,CHU_Treichville,111,77,34,23.9,0.3,0,1,2,1,2020,
2020-01-01,CHU_Angre,102,71,31,20.4,3.5,0,1,2,1,2020,
2020-01-01,Hôpital_Military,76,53,23,27.0,1.2,0,1,2,1,2020,
2020-01-02,CHU_Cocody,129,90,39,25.9,1.6,0,0,3,1,2020,
2020-01-02,CHU_Yopougon,154,107,47,23.9,1.5,0,0,3,1,2020,
2020-01-02,CHU_Treichville,100,70,30,21.7,0.3,0,0,3,1,2020,
2020-01-02,CHU_Angre,66,46,20,21.6,0.3,0,0,3,1,2020,
2020-01-02,Hôpital_Military,45,31,14,23.7,1.1,0,0,3,1,2020,
2020-01-03,CHU_Cocody,125,87,38,24.5,0.0,0,0,4,1,2020,
2020-01-03,CHU_Yopougon,159,111,48,22.6,0.1,0,0,4,1,2020,
2020-01-03,CHU_Treichville,97,67,30,21.7,0.6,0,0,4,1,2020,
2020-01-03,CHU_Angre,71,49,22,20.7,0.1,0,0,4,1,2020,
2020-01-03,Hôpital_Military,49,34,15,28.0,1.6,0,0,4,1,2020,
2020-01-04,CHU_Cocody,155,123,32,22.8,0.2,1,0,5,1,2020,
2020-01-04,CHU_Yopougon,181,144,37,26.5,0.5,1,0,5,1,2020,
2020-01-04,CHU_Treichville,109,87,22,25.8,0.9,1,0,5,1,2020,
2020-01-04,CHU_Angre,83,66,17,23.9,0.3,1,0,5,1,2020,
2020-01-04,Hôpital_Military,65,51,14,28.0,3.6,1,0,5,1,2020,
2020-01-05,CHU_Cocody,222,118,30,24.7,0.2,1,0,6,1,2020,Accident_routier_majeur
2020-01-05,CHU_Yopougon,179,143,36,24.9,0.0,1,0,6,1,2020,
2020-01-05,CHU_Treichville,180,95,25,22.7,0.0,1,0,6,1,2020,Epidémie_paludisme
2020-01-05,CHU_Angre,93,74,19,22.4,0.7,1,0,6,1,2020,
2020-01-05,Hôpital_Military,70,55,15,22.6,1.9,1,0,6,1,2020,
2020-01-06,CHU_Cocody,128,89,39,20.6,0.3,0,0,0,1,2020,
2020-01-06,CHU_Yopougon,157,109,48,21.7,3.1,0,0,0,1,2020,
2020-01-06,CHU_Treichville,97,67,30,24.2,0.8,0,0,0,1,2020,
2020-01-06,CHU_Angre,65,45,20,23.4,0.2,0,0,0,1,2020,
2020-01-06,Hôpital_Military,70,32,15,21.0,0.4,0,0,0,1,2020,Grippe_saisonnière
2020-01-07,CHU_Cocody,132,92,40,22.2,2.1,0,0,1,1,2020,
2020-01-07,CHU_Yopougon,158,110,48,25.4,0.6,0,0,1,1,2020,
2020-01-07,CHU_Treichville,97,67,30,26.7,0.3,0,0,1,1,2020,
2020-01-07,CHU_Angre,68,47,21,21.7,1.7,0,0,1,1,2020,
2020-01-07,Hôpital_Military,52,36,16,25.4,0.4,0,0,1,1,2020,
2020-01-08,CHU_Cocody,129,90,39,22.0,4.8,0,0,2,1,2020,
2020-01-08,CHU_Yopougon,159,111,48,21.6,0.0,0,0,2,1,2020,
2020-01-08,CHU_Treichville,98,68,30,26.1,0.4,0,0,2,1,2020,
2020-01-08,CHU_Angre,63,44,19,22.3,0.8,0,0,2,1,2020,
2020-01-08,Hôpital_Military,50,35,15,23.6,0.0,0,0,2,1,2020,
2020-01-09,CHU_Cocody,127,88,39,21.1,1.2,0,0,3,1,2020,
2020-01-09,CHU_Yopougon,154,107,47,23.6,0.0,0,0,3,1,2020,
2020-01-09,CHU_Treichville,99,69,30,25.3,0.2,0,0,3,1,2020,
2020-01-09,CHU_Angre,68,47,21,22.3,0.1,0,0,3,1,2020,
2020-01-09,Hôpital_Military,52,36,16,24.5,1.1,0,0,3,1,2020,
2020-01-10,CHU_Cocody,128,89,39,20.9,0.6,0,0,4,1,2020,
2020-01-10,CHU_Yopougon,154,107,47,23.4,2.7,0,0,4,1,2020,
2020-01-10,CHU_Treichville,101,70,31,24.1,0.7,0,0,4,1,2020,
2020-01-10,CHU_Angre,68,47,21,24.6,0.5,0,0,4,1,2020,
2020-01-10,Hôpital_Military,44,30,14,24.2,0.3,0,0,4,1,2020,
2020-01-11,CHU_Cocody,158,126,32,21.2,0.2,1,0,5,1,2020,
2020-01-11,CHU_Yopougon,179,143,36,23.3,0.6,1,0,5,1,2020,
2020-01-11,CHU_Treichville,115,91,24,23.3,1.3,1,0,5,1,2020,
2020-01-11,CHU_Angre,89,71,18,22.4,0.1,1,0,5,1,2020,
2020-01-11,Hôpital_Military,70,55,15,21.5,1.6,1,0,5,1,2020,
2020-01-12,CHU_Cocody,153,122,31,25.7,1.7,1,0,6,1,2020,
2020-01-12,CHU_Yopougon,174,139,35,23.2,0.7,1,0,6,1,2020,
2020-01-12,CHU_Treichville,166,88,23,23.9,0.9,1,0,6,1,2020,Grippe_saisonnière
2020-01-12,CHU_Angre,89,71,18,24.3,2.1,1,0,6,1,2020,
2020-01-12,Hôpital_Military,70,55,15,22.1,0.4,1,0,6,1,2020,
2020-01-13,CHU_Cocody,129,90,39,21.8,1.2,0,0,0,1,2020,
2020-01-13,CHU_Yopougon,160,112,48,22.9,0.3,0,0,0,1,2020,
2020-01-13,CHU_Treichville,95,66,29,24.0,0.6,0,0,0,1,2020,
2020-01-13,CHU_Angre,64,44,20,26.7,0.0,0,0,0,1,2020,
2020-01-13,Hôpital_Military,47,32,15,24.5,0.2,0,0,0,1,2020,
2020-01-14,CHU_Cocody,134,93,41,20.8,2.6,0,0,1,1,2020,
2020-01-14,CHU_Yopougon,157,109,48,21.7,0.4,0,0,1,1,2020,
2020-01-14,CHU_Treichville,94,65,29,21.3,0.8,0,0,1,1,2020,
2020-01-14,CHU_Angre,67,46,21,23.5,0.6,0,0,1,1,2020,
2020-01-14,Hôpital_Military,46,32,14,24.8,3.5,0,0,1,1,2020,
2020-01-15,CHU_Cocody,127,88,39,24.4,0.3,0,0,2,1,2020,
2020-01-15,CHU_Yopougon,162,113,49,24.2,0.3,0,0,2,1,2020,
2020-01-15,CHU_Treichville,97,67,30,23.2,0.5,0,0,2,1,2020,
2020-01-15,CHU_Angre,72,50,22,22.5,1.9,0,0,2,1,2020,
2020-01-15,Hôpital_Military,48,33,15,22.2,2.3,0,0,2,1,2020,
2020-01-16,CHU_Cocody,128,89,39,21.2,0.6,0,0,3,1,2020,
2020-01-16,CHU_Yopougon,160,112,48,20.8,1.8,0,0,3,1,2020,
2020-01-16,CHU_Treichville,96,67,29,23.2,4.4,0,0,3,1,2020,
2020-01-16,CHU_Angre,64,44,20,22.3,0.0,0,0,3,1,2020,
2020-01-16,Hôpital_Military,49,34,15,23.1,3.8,0,0,3,1,2020,
2020-01-17,CHU_Cocody,130,91,39,23.0,0.3,0,0,4,1,2020,
2020-01-17,CHU_Yopougon,154,107,47,22.7,1.3,0,0,4,1,2020,
2020-01-17,CHU_Treichville,96,67,29,24.8,1.7,0,0,4,1,2020,
2020-01-17,CHU_Angre,70,49,21,23.9,0.1,0,0,4,1,2020,
2020-01-17,Hôpital_Military,49,34,15,27.8,0.7,0,0,4,1,2020,
2020-01-18,CHU_Cocody,147,117,30,22.2,0.6,1,0,5,1,2020,
2020-01-18,CHU_Yopougon,183,146,37,25.9,0.1,1,0,5,1,2020,
2020-01-18,CHU_Treichville,118,94,24,21.7,1.0,1,0,5,1,2020,
2020-01-18,CHU_Angre,77,61,16,25.1,0.5,1,0,5,1,2020,
2020-01-18,Hôpital_Military,67,53,14,24.4,0.7,1,0,5,1,2020,
2020-01-19,CHU_Cocody,149,119,30,20.0,0.3,1,0,6,1,2020,
2020-01-19,CHU_Yopougon,177,141,36,22.2,0.5,1,0,6,1,2020,
2020-01-19,CHU_Treichville,121,96,25,26.1,0.0,1,0,6,1,2020,
2020-01-19,CHU_Angre,84,67,17,24.1,0.5,1,0,6,1,2020,
2020-01-19,Hôpital_Military,59,47,12,22.8,1.3,1,0,6,1,2020,
2020-01-20,CHU_Cocody,126,88,38,23.3,0.7,0,0,0,1,2020,
2020-01-20,CHU_Yopougon,159,111,48,21.8,0.7,0,0,0,1,2020,
2020-01-20,CHU_Treichville,97,67,30,26.0,0.8,0,0,0,1,2020,
2020-01-20,CHU_Angre,65,45,20,24.1,0.5,0,0,0,1,2020,
2020-01-20,Hôpital_Military,47,32,15,20.4,0.2,0,0,0,1,2020,
2020-01-21,CHU_Cocody,131,91,40,23.4,0.2,0,0,1,1,2020,
2020-01-21,CHU_Yopougon,157,109,48,24.8,0.9,0,0,1,1,2020,
2020-01-21,CHU_Treichville,98,68,30,24.2,2.2,0,0,1,1,2020,
2020-01-21,CHU_Angre,67,46,21,26.2,0.3,0,0,1,1,2020,
2020-01-21,Hôpital_Military,48,33,15,26.0,1.0,0,0,1,1,2020,
2020-01-22,CHU_Cocody,126,88,38,23.4,0.4,0,0,2,1,2020,
2020-01-22,CHU_Yopougon,155,108,47,23.3,1.5,0,0,2,1,2020,
2020-01-22,CHU_Treichville,94,65,29,23.3,1.5,0,0,2,1,2020,
2020-01-22,CHU_Angre,69,48,21,25.0,0.4,0,0,2,1,2020,
2020-01-22,Hôpital_Military,51,35,16,25.6,2.0,0,0,2,1,2020,
2020-01-23,CHU_Cocody,125,87,38,22.9,0.7,0,0,3,1,2020,
2020-01-23,CHU_Yopougon,160,112,48,22.2,1.5,0,0,3,1,2020,
2020-01-23,CHU_Treichville,99,69,30,24.4,1.7,0,0,3,1,2020,
2020-01-23,CHU_Angre,64,44,20,21.8,1.4,0,0,3,1,2020,
2020-01-23,Hôpital_Military,43,30,13,23.3,0.4,0,0,3,1,2020,
2020-01-24,CHU_Cocody,126,88,38,21.1,0.4,0,0,4,1,2020,
2020-01-24,CHU_Yopougon,154,107,47,20.2,0.0,0,0,4,1,2020,
2020-01-24,CHU_Treichville,99,69,30,25.9,3.4,0,0,4,1,2020,
2020-01-24,CHU_Angre,65,45,20,28.2,1.6,0,0,4,1,2020,
2020-01-24,Hôpital_Military,49,34,15,22.7,0.1,0,0,4,1,2020,
2020-01-25,CHU_Cocody,147,117,30,23.9,0.3,1,0,5,1,2020,
2020-01-25,CHU_Yopougon,179,143,36,25.4,1.5,1,0,5,1,2020,
2020-01-25,CHU_Treichville,108,86,22,25.8,0.8,1,0,5,1,2020,
2020-01-25,CHU_Angre,83,66,17,20.1,0.4,1,0,5,1,2020,
2020-01-25,Hôpital_Military,84,67,17,22.7,0.1,1,0,5,1,2020,
2020-01-26,CHU_Cocody,144,115,29,29.8,0.2,1,0,6,1,2020,
2020-01-26,CHU_Yopougon,173,138,35,20.4,2.0,1,0,6,1,2020,
2020-01-26,CHU_Treichville,111,88,23,23.4,0.6,1,0,6,1,2020,
2020-01-26,CHU_Angre,83,66,17,26.8,0.7,1,0,6,1,2020,
2020-01-26,Hôpital_Military,97,51,14,25.8,1.0,1,0,6,1,2020,Epidémie_paludisme
2020-01-27,CHU_Cocody,130,91,39,23.3,0.4,0,0,0,1,2020,
2020-01-27,CHU_Yopougon,158,110,48,24.0,1.0,0,0,0,1,2020,
2020-01-27,CHU_Treichville,97,67,30,23.0,0.9,0,0,0,1,2020,
2020-01-27,CHU_Angre,68,47,21,25.7,0.4,0,0,0,1,2020,
2020-01-27,Hôpital_Military,46,32,14,26.9,0.1,0,0,0,1,2020,
2020-01-28,CHU_Cocody,124,86,38,22.2,0.2,0,0,1,1,2020,
2020-01-28,CHU_Yopougon,154,107,47,24.6,0.1,0,0,1,1,2020,
2020-01-28,CHU_Treichville,98,68,30,22.7,0.3,0,0,1,1,2020,
2020-01-28,CHU_Angre,70,49,21,26.3,0.4,0,0,1,1,2020,
2020-01-28,Hôpital_Military,48,33,15,25.9,0.6,0,0,1,1,2020,
2020-01-29,CHU_Cocody,131,91,40,26.6,0.5,0,0,2,1,2020,
2020-01-29,CHU_Yopougon,157,109,48,24.1,1.1,0,0,2,1,2020,
2020-01-29,CHU_Treichville,93,65,28,23.3,1.3,0,0,2,1,2020,
2020-01-29,CHU_Angre,65,45,20,28.4,1.6,0,0,2,1,2020,
2020-01-29,Hôpital_Military,51,35,16,21.6,2.2,0,0,2,1,2020,
2020-01-30,CHU_Cocody,125,87,38,24.3,0.2,0,0,3,1,2020,
2020-01-30,CHU_Yopougon,151,105,46,22.3,0.6,0,0,3,1,2020,
2020-01-30,CHU_Treichville,96,67,29,25.1,0.5,0,0,3,1,2020,
2020-01-30,CHU_Angre,67,46,21,20.0,0.6,0,0,3,1,2020,
2020-01-30,Hôpital_Military,45,31,14,22.1,0.7,0,0,3,1,2020,
2020-01-31,CHU_Cocody,133,93,40,21.2,0.1,0,0,4,1,2020,
2020-01-31,CHU_Yopougon,157,109,48,23.1,0.1,0,0,4,1,2020,
2020-01-31,CHU_Treichville,97,67,30,23.0,2.0,0,0,4,1,2020,
2020-01-31,CHU_Angre,71,49,22,25.3,1.1,0,0,4,1,2020,
2020-01-31,Hôpital_Military,51,35,16,23.3,0.7,0,0,4,1,2020,
2020-02-01,CHU_Cocody,148,118,30,25.4,0.3,1,0,5,2,2020,
2020-02-01,CHU_Yopougon,183,146,37,21.1,0.1,1,0,5,2,2020,
2020-02-01,CHU_Treichville,119,95,24,21.7,0.2,1,0,5,2,2020,
2020-02-01,CHU_Angre,90,72,18,26.3,0.6,1,0,5,2,2020,
